# 1000 train equations for class=exponential
3*c*exp(-3*x) - 4*d*exp(3*x) - e
5*a*exp(5*x) - 2*e*exp(-5*x) + f
5*a*exp(3*x) + 3*b + d*exp(-3*x)
4*b*exp(5*x) + 5*c*exp(-5*x) + 5*f
-4*d - 2*f*exp(-5*x) + g*exp(5*x)
3*a*exp(2*x) + c - 5*d*exp(-2*x)
4*b*exp(-x) - 2*e - 3*f*exp(x)
4*b + 4*d*exp(5*x) - f*exp(-5*x)
-4*a*exp(-2*x) - 5*e*exp(2*x) + 5*g
4*c - f*exp(-3*x) - 2*g*exp(3*x)
c*exp(x) + 5*f*exp(-x) + 2*g
-b - 4*c*exp(3*x) + 3*f*exp(-3*x)
c*exp(x) + e + 5*g*exp(-x)
3*a*exp(-3*x) - 2*c*exp(3*x) + 2*d
-3*a*exp(-3*x) + 5*b*exp(3*x) + 5*d
b*exp(-5*x) + 3*c*exp(5*x) + 3*e
4*d*exp(-x) - 5*e - 4*g*exp(x)
5*a + 2*e*exp(-2*x) - 2*g*exp(2*x)
-3*d*exp(-3*x) - f*exp(3*x) - 2*g
5*b*exp(-x) + 5*e*exp(x) - 3*f
5*c*exp(-2*x) - 3*d*exp(2*x) + 2*g
c*exp(3*x) - f + 5*g*exp(-3*x)
-4*e + 3*f*exp(2*x) - g*exp(-2*x)
3*b - 4*c*exp(-2*x) - 3*e*exp(2*x)
a*exp(-x) - b - 3*c*exp(x)
3*a*exp(x) + 2*b + 4*d*exp(-x)
5*b - d*exp(2*x) + 3*e*exp(-2*x)
3*b*exp(3*x) - f - 3*g*exp(-3*x)
5*d*exp(-5*x) + 2*e + 3*g*exp(5*x)
-2*a*exp(-3*x) - f - 4*g*exp(3*x)
a*exp(3*x) + 3*b - 2*d*exp(-3*x)
-3*c*exp(-3*x) + 3*d + 3*g*exp(3*x)
